start_time,run,device_tracking,making_code,generalpurpose,EtOH (ppm),IAQ,MOX_400C,MOX_DEC_100C,MOX_DEC_150C,MOX_DEC_200C,MOX_DEC_250C,MOX_DEC_300C,MOX_DEC_350C,MOX_INC_100C,MOX_INC_150C,MOX_INC_200C,MOX_INC_250C,MOX_INC_300C,MOX_INC_350C,Rhtr_cold,TVOC (mg/m^3),Temperature_MEMS,VDDH,VDDH_400C,Vhtr_400C,board_type,comment,eCO2 (ppm),sleeptime
2021-10-27T16:11:21.455357,1,x0000463C536D4F69,x2310,"[200, 6, 72, 11, 103, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.01,1.0,795.8772738131804,33952.11234270837,19102.00148257969,11085.636594572354,6381.94140412938,3535.959348047773,1865.166612358298,8825.981477218395,5513.456943015122,3242.0602043634353,1898.1818181818182,883.0619003721533,494.9135213427622,24.375162298029124,0.02,31.917149855432008,2.0775130615234376,2.0724453735351562,0.5543542674865723,IDT HiCom,,400.0,0.0
2021-10-27T16:11:24.460612,2,x0000463C536D4F69,x2310,"[200, 6, 72, 11, 103, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.01,1.0,1145.0449526544287,56298.88766970029,30301.01426184277,16640.178947947417,9198.098481623385,4987.367322081086,2597.556358630184,40674.89311693311,19849.62629680586,9319.797675037715,4761.063792803755,2089.136107677517,1094.0533151059467,24.302266901189636,0.02,30.821227912237834,2.0775130615234376,2.0726378173828124,0.555600726287842,IDT HiCom,,400.0,1.91
2021-10-27T16:11:27.472722,3,x0000463C536D4F69,x2310,"[200, 6, 72, 11, 103, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.01,1.0,1444.201013282213,78695.69676908014,40890.10565593884,21950.50935219406,11794.264383905818,6244.351493725827,3212.3429518155463,59748.43644446381,28552.932098765432,13196.641083521445,6600.147249588052,3167.782455656015,1729.5444417783567,24.28039828213779,0.02,30.492451329279575,2.0775130615234376,2.072573669433594,0.5553807629699707,IDT HiCom,,400.0,1.86
2021-10-27T16:11:30.481041,4,x0000463C536D4F69,x2310,"[200, 6, 72, 11, 103, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.01,1.0,1689.257501242353,102468.89421258353,51943.27562121661,27012.994978341703,14090.797012111103,7295.946540050998,3714.9232818419277,77844.36593529193,36367.10549901412,16598.265842972633,8194.303674536048,4051.282939759871,2236.256184716877,24.297893177379265,0.02,30.755472595646182,2.0775130615234376,2.0726378173828124,0.5553441024169923,IDT HiCom,,400.0,1.88
2021-10-27T16:11:33.496710,5,x0000463C536D4F69,x2310,"[200, 6, 72, 11, 103, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.01,1.0,1898.1818181818182,124343.29485381379,62294.78916921453,31826.529016111373,16129.886760697364,8237.080993253505,4129.917848105653,95141.79453708036,43684.90117280407,19703.158677071722,9567.534913471447,4761.063792803755,2660.3549481004598,24.294977361505687,0.02,30.711635717918362,2.0775130615234376,2.07276611328125,0.5559306712646485,IDT HiCom,,400.0,1.92
2021-10-27T16:11:36.516448,6,x0000463C536D4F69,x2310,"[200, 6, 72, 11, 103, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.01,1.0,2067.085522024239,144588.71636498813,71802.09376422394,35907.91618623514,18087.161887892544,9068.694711836764,4512.674491284117,112020.78677960817,50189.64719734242,22280.15330277298,10731.013788669,5354.225855367507,3000.844813020465,24.283314098011367,0.02,30.536288207007317,2.0775130615234376,2.0727019653320315,0.5547208730163574,IDT HiCom,,400.0,1.92
2021-10-27T16:11:39.516576,7,x0000463C536D4F69,x2310,"[200, 6, 72, 11, 103, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.01,1.0,2217.855118272551,165944.05212911047,80461.4554750346,39695.71096982541,19677.330658046296,9740.88694477044,4828.905271943247,126985.61992008047,56022.09469770241,24748.694777210334,11806.313824727651,5878.291255350747,3290.3682475009928,24.281856190074578,0.02,30.514369768143403,2.0775130615234376,2.072573669433594,0.5546108913574219,IDT HiCom,,400.0,1.9
2021-10-27T16:11:42.516785,8,x0000463C536D4F69,x2310,"[200, 6, 72, 11, 103, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.01,1.0,2357.782552642888,187880.19881353216,90228.83594677784,43863.26890721819,21390.05446276506,10444.95183731716,5142.280032736074,142651.72629543257,62150.064853694465,26971.77241630416,12729.933321319157,6286.374457358913,3543.4102497623367,24.29060363769532,0.02,30.64588040132679,2.0775130615234376,2.072573669433594,0.5543542674865723,IDT HiCom,,400.0,1.89
2021-10-27T16:11:45.536435,9,x0000463C536D4F69,x2310,"[200, 6, 72, 11, 103, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.01,1.0,2479.4468714526506,205526.50082030334,97897.2166998012,47208.54725726995,22756.475903614457,10989.896822416536,5376.9588787979155,157993.59126513175,67257.95543612138,29041.15202474147,13640.79180689755,6715.1676722323555,3763.443836943733,24.296435269442476,0.02,30.733554156782272,2.0775130615234376,2.0727019653320315,0.5553807629699707,IDT HiCom,,400.0,1.91
2021-10-27T16:11:48.536702,10,x0000463C536D4F69,x2310,"[200, 6, 72, 11, 103, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.01,1.0,2575.400922293344,224297.80981037015,105519.58038396903,50432.42560713835,24013.853928118555,11517.484898998046,5593.160006979585,171370.14264633547,72021.86489318089,30820.00155775372,14312.366157308265,7041.717166394407,3954.0046757295004,24.29206154563211,0.02,30.66779884019062,2.0775130615234376,2.0727019653320315,0.5556740473937989,IDT HiCom,,400.0,1.87
